"Burkina Faso","0","3.2","3.2","0","3.2","3.3","0","3.2","3.2","0","3.1","3.1","0","2.6","2.7","0","2.5","2.5","0","2.4","2.4","0","2.3","2.3","0","2.3","2.3","0","2.4","2.5","0","2.6","2.6","0","2.7","2.8","0","2.7","2.8","0","2.7","2.7","0","2.6","2.6","0","2.5","2.5","0","2.4","2.4","0","2.3","2.4"
"Burundi","0","3","3","0","3.1","3.2","0","3.3","3.3","0","3.5","3.5","0","3.6","3.6","0","3.7","3.8","0","3.5","3.6","0","3.6","3.6","0","3.7","3.7","0","3.8","3.8","0","3.9","3.9","0","4","4","0","3.8","3.8","0","3.7","3.7","0","3.5","3.5","0","3.2","3.2","0","3.2","3.2","0","3.2","3.2"
"Cabo Verde","0","1.1","1.2","0","1.2","1.2","0","1.2","1.3","0","1.3","1.4","0","1.4","1.4","0","1.4","1.4","0","1.4","1.5","0","1.6","1.7","0","1.6","1.7","0","1.7","1.7","0","1.7","1.7","0","1.6","1.7","0","1.6","1.6","0","1.6","1.6","0","1.6","1.6","0","1.7","1.7","0","1.8","1.8","0","1.9","2"
"Cambodia","0","2.4","2.4","0","2.5","2.5","0","2.5","2.5","0","2.4","2.4","0","2.6","2.6","0","2.7","2.7","0","2.9","2.9","0","3.1","3.1","0","3.2","3.3","0","3.5","3.5","0","3.7","3.7","0","4","4","0","4.4","4.4","0","4.7","4.8","0","5.2","5.2","0","5.9","5.9","0","6.5","6.5","0","7.1","7.1"
"Cameroon","0.1","4","4","0.1","4","4.1","0.1","4.1","4.2","0.1","4.2","4.2","0.1","4.2","4.3","0.1","4.4","4.4","0.1","4.2","4.3","0.1","4.2","4.2","0.1","4.1","4.1","0.1","3.8","3.8","0","3.5","3.6","0","3.4","3.4","0","3.3","3.3","0","3.3","3.3","0","3.5","3.5","0","3.7","3.8","0","3.9","4","0","4.2","4.2"
"Canada","0","0.5","0.5","0","0.5","0.5","0","0.5","0.5","0","0.5","0.6","0","0.5","0.6","0","0.5","0.5","0","0.5","0.6","0","0.5","0.6","0","0.6","0.6","0","0.7","0.7","0","0.6","0.6","0","0.6","0.6","0","0.6","0.6","0","0.7","0.7","0","0.7","0.7","0","0.7","0.8","0","0.8","0.8","0","0.9","0.9"
"Central African Republic","0","3.3","3.3","0","3.4","3.4","0","3.4","3.5","0","3.4","3.5","0","3.3","3.3","0","3.2","3.3","0","3.1","3.1","0","2.9","2.9","0","2.7","2.8","0","2.5","2.5","0","2.5","2.5","0","2.4","2.4","0","2.4","2.4","0","2.6","2.6","0","2.7","2.7","0","2.8","2.8","0","2.9","2.9","0","2.9","3"
"Chad","0","3.9","3.9","0","4","4","0","4.1","4.1","0","4.1","4.1","0","4.1","4.1","0","4","4","0","3.9","3.9","0","3.9","3.9","0","3.9","3.9","0","4.1","4.1","0","4.1","4.1","0","4.3","4.3","0","4.2","4.3","0","4.3","4.3","0","4.3","4.3","0","4.4","4.4","0","4.2","4.2","0","4.2","4.3"
"Chile","0","0.6","0.6","0","0.6","0.7","0.1","0.7","0.7","0","0.6","0.7","0","0.7","0.7","0.1","0.7","0.8","0","0.7","0.8","0","0.7","0.8","0","0.8","0.8","0","0.8","0.8","0","0.9","0.9","0","1.1","1.1","0","0.9","0.9","0","1.1","1.1","0","1.1","1.1","0","1.2","1.2","0","1","1","0","1.1","1.1"
"China","0.1","0.7","0.8","0.1","0.8","0.8","0.1","0.8","0.9","0.1","0.9","0.9","0.1","0.9","1","0.1","1","1.1","0.1","1","1.1","0.1","1","1.1","0.1","1","1.1","0.1","1","1.1","0.1","1.1","1.2","0.1","1.3","1.3","0.1","1.4","1.5","0.1","1.5","1.6","0.1","1.6","1.7","0.1","1.6","1.7","0.1","1.7","1.8","0.1","1.7","1.8"
"Colombia","0","1.4","1.4","0","1.4","1.5","0","1.4","1.5","0","1.6","1.6","0","1.6","1.7","0","1.5","1.6","0","1.6","1.6","0","1.7","1.7","0","1.8","1.8","0","1.5","1.5","0","1.7","1.7","0","1.6","1.6","0","1.6","1.7","0","1.8","1.8","0","1.7","1.7","0","1.7","1.8","0","1.9","1.9","0","1.9","1.9"
"Comoros","0","2.9","2.9","0","3","3","0","3.1","3.1","0","3.1","3.1","0","3.1","3.1","0","3.2","3.2","0","3.3","3.3","0","3.4","3.4","0","3.4","3.4","0","3.3","3.3","0","3.4","3.4","0","3.4","3.4","0","3.5","3.5","0","3.5","3.5","0","3.5","3.5","0","3.5","3.5","0","3.4","3.4","0","3.4","3.4"
"Congo","0","1.5","1.5","0","1.6","1.6","0","1.7","1.7","0","1.8","1.8","0","1.9","1.9","0","1.8","1.8","0","1.8","1.8","0","1.9","1.9","0","2","2","0","2","2","0","2.1","2.1","0","2.2","2.2","0","2.4","2.4","0","2.5","2.5","0","2.6","2.6","0","2.7","2.7","0","2.8","2.8","0","2.9","2.9"
"Cook Islands","0","0.6","0.6","0","0.6","0.6","0","0.6","0.6","0","1.1","1.1","0","1.1","1.1","0","1.1","1.1","0","0.5","0.5","0","0.5","0.5","0","1","1","0","1","1.1","0","1","1","0","1","1","0","1.4","1.4","0","0.9","0.9","0","1.3","1.3","0","1.2","1.2","0","1.5","1.5","0","1.1","1.1"
"Costa Rica","0","0.8","0.8","0","0.8","0.8","0","0.8","0.8","0","0.7","0.8","0","0.9","0.9","0","0.9","0.9","0","0.8","0.9","0","0.8","0.9","0","0.9","1","0.1","0.9","0.9","0","0.6","0.6","0","1","1","0","0.6","0.7","0","1.2","1.3","0","0.8","0.9","0","1","1","0","1.2","1.2","0","1.5","1.5"
"Côte d'Ivoire","0","4.1","4.2","0","4.2","4.2","0","4.2","4.2","0","3.8","3.9","0","3.8","3.8","0","3.6","3.6","0","3.5","3.5","0","3.3","3.4","0","3.2","3.3","0","3.1","3.2","0","3.2","3.2","0","3","3.1","0","2.9","2.9","0","2.5","2.6","0","2.3","2.3","0","2.1","2.1","0","2.1","2.1","0","2.2","2.2"
"Croatia","0","0.4","0.4","0","0.4","0.4","0","0.3","0.3","0","0.3","0.3","0.1","0.6","0.7","0","0.5","0.5","0","0.7","0.7","0","0.5","0.5","0","0.6","0.6","0.1","0.6","0.6","0","0.5","0.6","0","0.4","0.4","0","0.5","0.5","0","0.7","0.7","0.1","0.7","0.7","0","0.7","0.7","0","0.5","0.5","0","0.5","0.6"
"Cuba","0","0.9","1","0","0.9","0.9","0.1","1","1","0","1","1","0","0.9","0.9","0","0.8","0.9","0","0.9","1","0","1","1","0","1.1","1.1","0","1.1","1.1","0","1.1","1.1","0","1","1","0","1.1","1.1","0","1.1","1.1","0","1.2","1.2","0","1.1","1.2","0","1","1.1","0","1.1","1.1"
"Cyprus","0","0.4","0.4","0","0.4","0.4","0.1","0.4","0.5","0.1","0.5","0.5","0","0.4","0.4","0","0.4","0.4","0","0.4","0.4","0","0.5","0.5","0","0.5","0.5","0","0.6","0.6","0","0.6","0.6","0","0.7","0.7","0","0.8","0.8","0","0.8","0.8","0","0.9","0.9","0","1","1","0","1","1","0","1.1","1.1"
"Czechia","0","0.5","0.5","0","0.4","0.4","0","0.5","0.5","0","0.5","0.5","0","0.4","0.4","0","0.4","0.4","0","0.4","0.4","0","0.4","0.4","0","0.4","0.4","0","0.3","0.3","0","0.5","0.5","0","0.6","0.7","0","0.5","0.5","0","0.6","0.7","0","0.6","0.6","0","0.7","0.7","0","0.7","0.7","0","0.7","0.7"
"Democratic People's Republic of Korea","0","1.7","1.7","0","1.7","1.8","0","1.8","1.8","0","1.9","1.9","0","2","2","0","2.1","2.1","0","2.1","2.1","0","2.2","2.2","0","2.3","2.3","0","2.4","2.4","0","2.4","2.5","0","2.4","2.5","0","2.5","2.5","0","2.6","2.6","0","2.9","2.9","0","3.2","3.2","0","3.7","3.7","0","4.1","4.1"
"Democratic Republic of the Congo","0","3.2","3.2","0","3.3","3.3","0","3.3","3.3","0","3.4","3.4","0","3.3","3.4","0","3.3","3.3","0","3.2","3.2","0","3","3.1","0","2.8","2.8","0","2.5","2.5","0","2.3","2.3","0","2.2","2.2","0","2.1","2.2","0","2.3","2.3","0","2.4","2.4","0","2.6","2.6","0","2.7","2.8","0","2.9","3"
"Denmark","0","0.3","0.3","0","0.3","0.3","0","0.3","0.3","0.1","0.5","0.5","0","0.4","0.4","0","0.4","0.4","0","0.4","0.4","0.1","0.5","0.5","0.1","0.5","0.6","0","0.4","0.5","0.1","0.5","0.6","0","0.6","0.6","0","0.5","0.5","0.1","0.4","0.5","0.1","0.5","0.6","0","0.6","0.6","0.1","0.7","0.7","0","0.5","0.6"
"Djibouti","0","2.4","2.4","0","2.5","2.5","0","2.6","2.6","0","2.6","2.6","0","2.7","2.8","0","2.5","2.6","0","2.6","2.6","0","2.7","2.7","0","2.7","2.8","0","2.7","2.8","0","2.7","2.7","0","2.7","2.7","0","2.7","2.7","0","2.7","2.7","0","2.7","2.7","0","2.7","2.7","0","2.8","2.8","0","2.8","2.8"
"Dominica","0","2.2","2.2","0","2","2","0","1.5","1.5","0","1.6","1.6","0","1.5","1.5","0","1.9","1.9","0","1.2","1.2","0","1.4","1.4","0","1.5","1.5","0","1.6","1.6","0","1.2","1.2","0","1.5","1.5","0","2.2","2.2","0","3","3","0","2.7","2.7","0","2.1","2.1","0","1.9","1.9","0","1.6","1.6"
"Dominican Republic","0","1.6","1.6","0","1.6","1.6","0","1.6","1.7","0","1.7","1.8","0.1","1.7","1.7","0.1","1.7","1.8","0.1","1.7","1.8","0.1","1.6","1.7","0.1","1.6","1.7","0.1","1.6","1.7","0.1","1.6","1.6","0.1","1.6","1.7","0.1","1.7","1.7","0.1","1.7","1.7","0.1","1.7","1.7","0.1","1.7","1.8","0.1","1.8","1.9","0.1","1.9","2"
"Ecuador","0","1.2","1.2","0","1.1","1.1","0","1.3","1.4","0","1.3","1.4","0","1.3","1.4","0","1.4","1.4","0","1.5","1.5","0","1.6","1.6","0","1.6","1.7","0","1.7","1.7","0","1.8","1.8","0","1.8","1.9","0","1.9","1.9","0","2","2","0","2","2.1","0","2.2","2.2","0","2.3","2.3","0","2.4","2.4"
"Egypt","0","1.6","1.6","0","1.6","1.6","0","1.6","1.6","0","1.6","1.6","0","1.8","1.8","0","1.8","1.8","0","1.8","1.8","0","1.8","1.8","0","1.9","1.9","0","1.9","1.9","0","1.9","1.9","0","1.9","2","0","2","2","0","2","2","0","2.1","2.1","0","2.1","2.1","0","2.2","2.2","0","2.3","2.3"
"El Salvador","0","1.2","1.2","0","1.2","1.3","0.1","1.3","1.3","0.1","1.3","1.4","0.1","1.4","1.4","0.1","1.4","1.5","0.1","1.5","1.5","0.1","1.6","1.6","0","1.7","1.7","0","1.8","1.8","0","1.9","1.9","0","2","2","0","2.1","2.1","0","2.2","2.2","0","2.2","2.3","0","2.3","2.4","0","2.6","2.7","0","2.7","2.8"
"Equatorial Guinea","0","2.2","2.2","0","2.2","2.3","0","2.2","2.2","0","2.1","2.2","0","2","2","0","2","2","0","2","2.1","0","2.2","2.2","0","2.3","2.4","0","2.4","2.4","0","2.4","2.5","0","2.4","2.5","0","2.5","2.5","0","2.6","2.6","0","2.8","2.9","0","3.1","3.1","0","3.3","3.3","0","3.4","3.5"
"Eritrea","0","2","2","0","2","2","0","1.9","1.9","0","1.9","1.9","0","2","2","0","2","2","0","2.1","2.1","0","2.1","2.1","0","2.2","2.2","0","2.1","2.1","0","2.1","2.1","0","2.1","2.1","0","2.1","2.1","0","2.2","2.2","0","2.3","2.3","0","2.4","2.4","0","2.5","2.5","0","2.7","2.7"
"Estonia","0","0.6","0.6","0","0.1","0.1","0","0.9","0.9","0","0.9","0.9","0","0.3","0.3","0","0.6","0.6","0","0.6","0.6","0","0.6","0.6","0","0.7","0.7","0.1","0.6","0.7","0.1","0.7","0.8","0","0.7","0.7","0","1.2","1.2","0","0.8","0.8","0","0.8","0.8","0.1","0.9","1","0","1.2","1.2","0","0.7","0.7"
"Eswatini","0","2.8","2.8","0","2.9","2.9","0","3","3","0","3","3","0","2.9","2.9","0","3","3","0","3.2","3.2","0","3.3","3.3","0","3.4","3.4","0","3.5","3.5","0","3.6","3.6","0","3.6","3.6","0","3.7","3.7","0","3.8","3.8","0","3.7","3.7","0","3.7","3.7","0","3.6","3.6","0","3.5","3.5"
"Ethiopia","0","1.7","1.7","0","1.8","1.8","0","1.9","1.9","0","1.9","1.9","0","1.9","2","0","2","2","0","2.1","2.1","0","2.1","2.1","0","2.2","2.2","0","2.3","2.3","0","2.4","2.4","0","2.5","2.5","0","2.4","2.5","0","2.5","2.5","0","2.7","2.7","0","2.9","2.9","0","3","3","0","3.1","3.1"
"Fiji","0","2.2","2.2","0","2.2","2.2","0","2.1","2.2","0","2.1","2.2","0","2.1","2.1","0","2.1","2.1","0","2.1","2.1","0","2","2.1","0","2","2.1","0","2","2","0","1.9","1.9","0","1.8","1.9","0","1.8","1.8","0","1.8","1.8","0","1.8","1.8","0","1.8","1.8","0","1.8","1.9","0","1.8","1.9"
"Finland","0","0.1","0.2","0","0.2","0.2","0","0.2","0.3","0","0.3","0.3","0.1","0.4","0.4","0.1","0.4","0.4","0.1","0.4","0.4","0.1","0.3","0.4","0","0.3","0.4","0","0.3","0.3","0","0.3","0.3","0.1","0.3","0.3","0.1","0.3","0.3","0","0.3","0.3","0","0.4","0.4","0","0.4","0.4","0.1","0.4","0.5","0","0.4","0.5"
"France","0","0.6","0.7","0","0.6","0.6","0","0.6","0.7","0","0.6","0.6","0","0.6","0.6","0","0.6","0.7","0","0.6","0.6","0","0.6","0.7","0","0.8","0.8","0","0.7","0.7","0","0.7","0.8","0","0.7","0.7","0","0.7","0.8","0","0.8","0.8","0","0.7","0.8","0","0.8","0.8","0","0.8","0.8","0","0.9","0.9"
"Gabon","0","1.5","1.5","0","1.5","1.5","0","1.5","1.5","0","1.6","1.6","0","1.6","1.6","0","1.7","1.7","0","1.7","1.7","0","1.7","1.8","0","1.8","1.8","0","1.8","1.8","0","1.8","1.9","0","1.9","1.9","0","1.9","1.9","0","1.9","1.9","0","1.8","1.8","0","1.8","1.8","0","1.7","1.7","0","1.7","1.7"
